帧号,车辆ID,速度(m/s),距离(m),角度(deg)
147,249,13.780485155327952,88.33342239665731,-1.1351781868344943
147,250,12.839408814310636,82.86271001445228,-3.6325683113922356
147,251,14.646249102273643,59.23545086173345,-8.49456519980691
147,252,12.414833625741963,21.977505481306203,-23.461599783933522
147,253,-12.09630447643501,157.59795576036674,0.6362371538019512
147,254,-11.37325704521167,160.47439305283112,3.125650221889022
147,255,-14.360604917204986,150.6144179726758,1.9975762858131816
148,248,14.456751769054689,98.8452147216973,-5.078598443348151
148,249,13.814151189685063,89.71478712690387,-1.1176972825659253
148,250,12.774961536179,84.14012638631125,-3.57734628603054
148,251,14.704914911198788,60.70535915604671,-8.287414460155196
148,252,12.563500914385838,23.22438559463778,-22.1330814463891
148,253,-12.173294719791205,156.38061415078343,0.6411901345423463
148,254,-11.409511101962497,159.33342679899036,3.1480550723341394
148,255,-14.299408253363351,149.18446089765672,2.016731249791567
149,248,14.436966765505918,100.28878404634447,-5.005308555368258
149,249,13.877098995229273,91.10245036097271,-1.1006705207764647
149,250,12.849243332729186,85.42495000334179,-3.523473192873002
149,251,14.647206255734936,62.169549478348074,-8.090908907601447
149,252,12.809293210049212,24.497160662435643,-20.927371643012997
149,253,-12.20206711708797,155.16039850924014,0.6462328083685722
149,254,-11.313161752644112,158.20208832726158,3.1705904428467617
149,255,-14.324467589170911,147.7519909585876,2.0362918523502245
150,248,14.547275123398204,101.74339366031465,-4.93356974807458
150,249,13.796101929315558,92.482006938729,-1.0842498140807326
150,250,12.812405272326282,86.7061140790599,-3.4713462986675543
150,251,14.713902397230187,63.640447581377494,-7.902697326665148
150,252,12.738736319853679,24.497160662435643,-20.927371643012997
150,253,-12.093887659314705,153.95100802577574,0.6513096269808926
150,254,-11.317190536219867,158.20208832726158,3.1705904428467617
150,255,-14.352137212021615,146.31675813038646,2.0562745409003527
151,248,14.530247079739551,103.19631196961981,-4.863940640489404
151,249,13.829533788574668,93.86491799919897,-1.068273705380763
151,250,12.827349193586851,87.9887773521647,-3.4206818206864082
151,251,14.677221969570978,65.10769687199405,-7.723504882728713
151,252,13.0591665028584,27.078206971749434,-18.852809650049313
151,253,-12.086735432424831,152.74232692069288,0.6564637972056558
151,254,-11.34347775290758,155.9360204453533,3.2167136993052545
151,255,-14.294469910324057,144.88728822219645,2.0765707587797912
152,248,14.521743182431804,104.64837867722639,-4.796290977703803
152,249,13.846684520672456,95.24954803913866,-1.0527425916001527
