帧号,车辆ID,速度(m/s),距离(m),角度(deg)
121,270,12.028327743651687,59.75853338933128,8.655182207205424
121,271,13.420882273589706,63.75946127573847,0.39027009469138974
121,272,11.274343798475822,55.797440385719405,6.585750693256552
121,273,9.326312335096059,31.190001254989234,19.906026202901284
121,275,-11.996109568810096,191.8045069908306,-6.916532494001042
121,276,-12.362315897444633,190.37178153830828,-5.789325327270512
121,277,-11.14685420468873,193.61669640887337,-4.895822762914562
122,270,12.146245750872783,60.96942059559091,8.141189355301478
122,271,13.4994224373476,65.1071011963476,0.05087820399728134
122,272,11.427320033577612,56.93686731192378,6.114300155238035
122,273,9.735640979210794,32.1434836124282,18.56835480731747
122,275,-11.967126910910928,190.60768394433725,-6.8650184722985825
122,276,-12.60450721303836,189.11118365128922,-5.726939393983594
122,277,-11.166658957989764,192.4998943377421,-4.836203908588484
123,270,12.172055024837602,62.18312305622519,7.64872287570866
123,271,13.507566202505595,66.45569977305634,-0.2738915550915907
123,272,11.423099011815545,58.0760998325145,5.663688618883495
123,273,10.17443954651291,33.14237422945536,17.28840733686652
123,275,-11.979241151558538,189.40963875997062,-6.812787799156699
123,276,-12.812460814338051,187.82977602369405,-5.662647522968178
123,277,-11.154179203298186,191.38433782753182,-4.775941148457317
124,270,12.35397873994182,63.41515524405364,7.170513444265986
124,271,13.608899441121581,67.81454498496757,-0.587073388020936
124,272,11.522775059253249,59.22545058763876,5.228700940140182
124,273,10.48671824378646,34.17421574914347,16.077477597372688
124,275,-11.981584175350289,188.21136867691737,-6.759869778043686
124,276,-13.024281776996792,186.52718355776125,-5.596368331390103
124,277,-11.14462202345538,190.26974684892778,-4.7150086357687595
125,270,12.335319863664736,64.64556092522909,6.71330641804354
125,271,13.609891984699665,69.17362330210099,-0.8871006355160678
125,272,11.607813785071412,60.383463572201336,4.809063257694289
125,273,10.772491856595366,35.23618240456172,14.932689748563954
125,275,-11.925006468427227,187.0187476383241,-6.706515205767266
125,276,-13.217106727138688,185.20530224128447,-5.528134256867923
125,277,-11.124352195088914,189.15717171703048,-4.653453597821797
126,270,12.421190827326326,65.88471302713958,6.272088886458241
126,271,13.694025193929317,70.54121216627415,-1.1765117484773773
126,272,11.628915442040922,61.54375125617832,4.406147320961878
126,273,11.110440619199187,36.333159770580394,13.843798734889376
126,275,-11.99447249927282,185.81919149325591,-6.652146348371264
126,276,-13.398281201468423,183.86527836276355,-5.457940681089797
126,277,-11.19868393647976,188.0371516496275,-4.590733679793264
127,270,12.516579097064348,67.13354746060116,5.845715941408738
127,271,13.750655335327755,71.91456377190707,-1.4553079924434051
127,272,11.642808621728427,62.705597913304175,4.019178750458561
127,273,11.306027405997726,37.45104922075046,12.819508803908876
127,275,-12.031456922028145,184.6159243011676,-6.596885810295615
